Source,Target
192469,72602
55744,94215
214897,193274
72768,193274
190671,193274
193300,193274
49855,77786
23299,72143
72046,190684
72303,191513
247149,262634
247149,262636
247149,262635
247149,262633
94296,47
191172,47
192560,47
1,47
4169,47
72629,47
194665,47
44518,74092
72046,190686
193531,190216
210683,190216
71998,190216
72006,190216
262660,190216
268099,190216
210630,190216
210794,190216
210632,190216
210682,190216
210743,190216
210680,190216
210732,190216
210689,190216
210627,190216
210795,190216
210789,190216
210685,190216
210624,190216
210740,190216
210735,190216
268095,190216
268094,190216
210634,190216
210679,190216
268096,190216
210833,190216
210796,190216
210739,190216
210626,190216
210675,190216
210678,190216
210785,190216
210737,190216
210690,190216
210688,190216
190305,190216
210741,190216
210779,190216
210691,190216
210734,190216
210777,190216
210787,190216
210629,190216
210782,190216
210738,190216
268097,190216
268093,190216
268098,190216
210736,190216
210623,190216
210633,190216
210792,190216
210635,190216
190306,190216
190307,190216
190308,190216
190309,190216
190310,190216
210862,190216
190312,190216
72840,190216
247339,190216
190687,190216
210742,190216
210681,190216
247313,190216
210684,190216
210791,190216
210733,190216
210790,190216
210676,190216
210783,190216
46,4482
22142,72069
191086,72069
2312,45669
22142,45669
191086,45669
52432,3470
103348,3470
33,3470
748,3470
3480,3470
93711,3470
53014,3470
61,3470
58751,104322
67692,73135
34414,73135
72812,193407
215195,250788
3653,3479
1460,3479
33,3479
748,3479
3480,3479
93711,3479
53014,3479
61,3479
23299,3479
273960,282645
72092,191174
22142,72073
191086,72073
58720,73122
67692,73122
34414,73122
71851,72232
24540,72232
71851,72233
24540,72233
250744,250702
215110,250702
274223,207697
188397,207697
297147,207697
188397,207704
188397,207698
188397,207703
274223,284162
297147,284162
194360,217026
73020,194385
58551,100727
3081,50458
50117,50458
50457,50458
1122,16103
193371,72792
193391,72792
193354,72792
31674,72792
192241,72792
193377,72792
79330,94296
274128,94296
274106,94296
274127,94296
55745,94296
58551,94296
72811,191172
72092,191172
282447,191172
3283,52423
3284,52528
31,3275
31,3282
3284,52529
3285,52626
3287,52823
94296,51
191172,51
192560,51
1,51
4169,51
72629,51
194665,51
3285,52628
3284,52524
3283,52432
3283,52431
3286,52720
3288,52918
3287,52825
31,3278
3287,52827
3284,52530
3285,52627
3283,52427
3283,52430
3285,52624
31,3281
3288,52921
3283,52425
31,3280
31,3279
3284,52527
3287,52826
31,3277
31,3273
31,3274
3288,52920
3285,52621
3284,52531
3287,52828
3288,52922
3285,52625
3288,52923
3285,52623
31,3276
3288,52924
3285,52622
3284,52525
3283,52428
3284,52523
3284,52526
3288,52925
3285,52630
3285,52629
3283,52426
3287,52821
3287,52819
3287,52820
3286,52725
3286,52722
3286,52724
3286,52723
3286,52729
3286,52727
3286,52721
3286,52726
3286,52728
3284,52522
3283,52424
3283,52429
3288,52919
3287,52824
251048,264867
94296,44
191172,44
192560,44
1,44
4169,44
72629,44
194665,44
3287,52822
73069,194512
22142,72071
191086,72071
73069,194511
72794,193371
72794,193370
30423,72737
72091,72737
1144,17864
33,3472
748,3472
3480,3472
93711,3472
53014,3472
61,3472
215189,10568
1404,10568
1467,10568
1411,10568
1478,10568
1422,10568
1539,10568
1391,10568
1536,10568
1495,10568
1445,10568
1499,10568
1531,10568
1477,10568
1344,10568
1340,10568
746,10568
1468,10568
1908,10568
1482,10568
1442,10568
31505,10568
83763,10568
215967,250944
215967,250942
215967,250987
215967,250946
215967,250970
215967,251002
215967,251003
215967,250953
215967,250972
215967,250989
215967,251000
215967,250959
215967,250961
215967,250921
215967,250930
215967,250935
215967,250971
215967,250919
215967,250955
215967,250995
215967,250924
215967,250983
215967,251008
215967,250968
215967,250923
215967,250967
215967,250937
215967,250969
215967,250965
215967,250934
215967,250922
215967,250964
215967,250990
215967,250988
215967,250992
215967,251001
215967,250986
215967,250975
215967,250917
215967,250916
215967,251005
215967,250948
215967,250949
215967,250925
215967,250981
215967,250936
215967,250985
215967,250984
215967,250938
215967,250929
215967,250991
215967,250962
215967,250956
215967,250957
215967,250958
215967,251007
215967,250979
215967,250976
215967,251010
215967,250999
215967,250932
215967,250933
215967,250982
215967,251009
190559,211065
207470,211065
192058,212547
50471,85639
50473,85639
58549,100546
58530,99249
274246,99249
297159,99249
265069,274283
265069,274278
265069,274280
265069,274282
265069,274281
265069,274277
22554,72117
211277,72117
211773,72117
29757,72677
72046,190677
211280,190677
1122,16102
72712,193221
250655,72471
282953,72471
273906,72471
192075,72471
25874,72471
53133,72471
212508,72471
2217,44810
78716,198511
50448,84133
50448,84135
71972,189971
21808,71971
282858,71971
21975,71971
71963,71971
71966,71971
71968,71971
71965,71971
71967,71971
71971,189953
71971,189952
272615,207724
188399,207724
207720,207724
207718,207724
207722,207724
207723,207724
207721,207724
207719,207724
50465,85263
250701,85263
80549,85263
50465,85264
250701,85264
80549,85264
53720,92516
72046,81385
58544,81385
50115,81385
50473,81385
58560,101462
50244,83258
83674,85638
50471,85638
72045,10860
72046,10860
264352,10860
872,10860
198886,198857
86568,198857
72046,190676
264283,272030
72462,191886
71971,189947
188397,207700
72363,72362
212254,72362
25873,72362
92133,72362
191688,72362
72476,72362
92131,72362
72463,72362
250655,72362
282953,72362
273906,72362
192075,72362
25874,72362
53133,72362
212508,72362
192186,72362
33585,73043
25873,72439
92133,72439
212254,249526
92131,203387
212254,249525
92151,203633
25873,72363
92133,72363
92131,72363
72463,72363
192946,72363
214671,72363
250655,72363
282953,72363
273906,72363
192075,72363
25874,72363
53133,72363
212508,72363
25873,72444
92133,72444
25873,72365
92133,72365
53136,72365
203632,72365
72444,191840
72444,191834
72444,191839
72444,191838
72444,191836
72444,191841
72444,191835
72444,191837
72365,191633
72365,191635
72365,191634
192186,212747
192047,212512
212524,212512
192047,212514
212524,212514
192047,212513
212524,212513
192186,212743
282954,192055
72468,192055
192186,192055
282954,192056
72468,192056
192057,212215
191688,212215
192186,212215
282954,72465
72468,72465
72463,72465
250655,72465
282953,72465
273906,72465
192075,72465
25874,72465
53133,72465
212508,72465
282954,192057
72468,192057
250655,72467
282953,72467
273906,72467
192075,72467
25874,72467
53133,72467
212508,72467
282954,192058
72468,192058
282954,192062
72468,192062
25873,53134
92133,53134
53136,53134
203632,53134
53120,53134
3481,53134
53114,53134
53115,53134
91974,53134
202932,53134
202933,53134
202977,53134
92292,53134
203763,53134
203764,53134
203684,53134
92252,53134
203722,53134
203723,53134
203724,53134
203765,53134
203683,53134
92251,53134
203681,53134
203682,53134
53139,53134
53140,53134
191954,24293
53120,24293
3481,24293
53114,24293
53115,24293
91974,24293
202932,24293
202933,24293
202977,24293
92292,24293
203763,24293
203764,24293
203684,24293
92252,24293
203722,24293
203723,24293
203724,24293
203765,24293
203683,24293
92251,24293
203681,24293
203682,24293
53139,24293
53140,24293
49870,24293
1395,24293
200926,200928
91693,200928
200910,200928
200911,200928
191795,212284
191795,212288
200917,201063
91696,201063
201060,201063
201061,201063
191796,212242
191793,212242
191795,212285
191793,212250
78716,198510
191793,212246
191793,212249
251835,265427
274457,265427
191793,212247
191793,212248
191793,212245
191793,212253
191793,212244
191793,212257
72372,191645
191793,212243
25873,72372
92133,72372
200921,218608
199005,218608
200922,218496
199003,218496
200919,201011
91695,201011
201008,201011
201009,201011
200923,218440
199002,218440
200924,218328
200925,218328
199000,218328
199001,218328
78716,198509
200918,218664
199006,218664
200920,218552
199004,218552
191795,212286
191795,212287
225858,254453
254457,254453
191795,212283
49870,78716
201063,226022
92151,203629
254453,254467
226022,254467
191796,212255
191793,212255
201484,227308
201173,201484
91706,201484
201481,201484
201482,201484
191793,212254
191793,212252
92131,203384
191793,212251
92131,203383
72464,191954
212254,25873
72463,25873
250654,25873
250655,25873
282953,25873
273906,25873
192075,25873
1414,25873
25874,25873
53133,25873
212508,25873
192186,25873
53136,92133
203632,92133
72444,92151
212253,92151
203629,92151
53136,92151
203632,92151
53136,92156
203632,92156
53136,92130
203632,92130
191688,212220
191688,212218
191688,212221
191688,212219
72417,191688
25873,72447
92133,72447
53128,91839
91828,91839
91829,91839
91840,91839
91841,91839
25873,72443
92133,72443
250655,72443
282953,72443
273906,72443
192075,72443
25874,72443
53133,72443
212508,72443
25873,72442
92133,72442
53136,72442
203632,72442
72417,191693
25873,72374
92133,72374
53136,92152
203632,92152
53136,92153
203632,92153
191688,212222
72476,192214
72476,192096
72469,192096
25873,72411
92133,72411
72469,192101
72476,192098
72469,192098
72476,192213
72469,192124
72469,192099
25873,72427
92133,72427
191688,72427
72476,72427
192186,212736
191688,192097
72476,192097
72469,192097
191688,212213
72444,53136
25873,53136
92133,53136
53120,53136
3481,53136
53114,53136
53115,53136
91974,53136
202932,53136
202933,53136
202977,53136
92292,53136
203763,53136
203764,53136
203684,53136
92252,53136
203722,53136
203723,53136
203724,53136
203765,53136
203683,53136
92251,53136
203681,53136
203682,53136
53139,53136
53140,53136
201176,53136
199010,53136
199981,53136
199011,53136
199983,53136
199013,53136
250655,53136
282953,53136
273906,53136
192075,53136
25874,53136
53133,53136
212508,53136
191954,212441
191954,212438
191954,212439
191954,212440
92151,203632
53136,72476
203632,72476
250655,72476
282953,72476
273906,72476
192075,72476
25874,72476
53133,72476
212508,72476
92151,203631
53136,92137
203632,92137
53116,91351
91344,91351
91345,91351
199351,91351
91359,91351
199297,91351
199298,91351
199300,91351
91360,91351
199349,91351
199350,91351
199299,91351
53121,91351
91537,91351
91538,91351
200077,91351
91542,91351
200030,91351
91543,91351
200029,91351
91539,91351
199886,91351
199887,91351
199888,91351
199889,91351
199989,91351
53136,92139
203632,92139
53136,92155
203632,92155
219034,252145
218896,252145
218823,252145
53136,92131
203632,92131
53136,92149
203632,92149
25873,72436
92133,72436
25873,72437
92133,72437
227308,254590
72465,191996
192047,191996
212524,191996
72467,192048
192047,212511
212524,212511
192186,212511
193371,72818
193391,72818
72811,72818
193354,72818
250744,72818
215110,72818
31674,72818
192241,72818
193377,72818
72046,190667
193371,72783
193391,72783
193354,72783
31674,72783
192241,72783
193377,72783
28263,72510
193371,72791
193391,72791
193354,72791
72813,72791
192240,72791
31674,72791
192241,72791
193377,72791
193371,72790
193391,72790
193354,72790
72813,72790
192240,72790
31674,72790
192241,72790
193377,72790
72813,193413
192240,193413
193371,72806
193391,72806
193354,72806
31674,72806
192241,72806
193377,72806
188398,207714
72092,191170
58985,110103
58985,110104
191211,72165
24046,72165
191211,72164
24046,72164
4167,54611
872,10857
194353,216993
5342,64812
281922,296615
281922,296617
281922,296623
281922,296619
281922,296621
281922,296625
281922,296618
281922,296635
281922,296632
281922,296629
281922,296633
281922,296634
281922,296614
281922,296624
281922,296627
281922,296616
281922,296630
281922,296626
271992,281889
271992,281890
272000,281929
272000,281925
272000,281927
281922,296622
264283,271998
10,868
10,863
10,861
10,866
10,864
10,865
10,867
48246,76322
5356,66147
50117,81554
191211,72167
24046,72167
272000,281932
25449,72306
191499,72306
72306,191530
72306,191531
72306,191505
72303,191505
72302,191505
271992,281886
25449,72298
191499,72298
72303,191514
210691,210692
190307,210692
72303,191515
210735,191515
190308,191515
271992,191515
25449,72168
191499,72168
191211,72168
24046,72168
25449,72301
191499,72301
25449,72300
191499,72300
25449,72170
191499,72170
191211,72170
24046,72170
25449,72299
191499,72299
72548,192434
192785,214455
72598,192882
72598,192874
72598,192875
72598,192872
72598,192876
72598,192873
72598,192886
72598,192887
72598,192884
72598,192888
72598,192890
72598,192885
72598,192889
72598,192878
192780,214379
214387,250267
214387,250252
214387,250255
214387,250259
214387,250266
214387,250265
214387,250262
214387,250260
214387,250263
214387,250257
72593,192781
192780,192781
192857,213645
192927,213645
192587,213645
213624,213589
192586,213589
192745,213589
214184,249872
213603,249872
213605,249872
214184,249880
213603,249880
213605,249880
214184,249883
213603,249883
213605,249883
214184,249887
213603,249887
213605,249887
214184,249886
213603,249886
213605,249886
214184,249884
213603,249884
213605,249884
214184,249882
213603,249882
213605,249882
214184,249879
213603,249879
213605,249879
214184,249888
213603,249888
213605,249888
214184,249875
213603,249875
213605,249875
214184,249885
213603,249885
213605,249885
214184,249873
213603,249873
213605,249873
214184,249874
213603,249874
213605,249874
214184,249878
213603,249878
213605,249878
214184,249881
213603,249881
213605,249881
214184,249876
213603,249876
213605,249876
214184,249871
213603,249871
213605,249871
214184,249877
213603,249877
213605,249877
213624,192746
72592,192746
192742,192746
192743,192746
192741,192746
192747,192746
192744,192746
192586,192746
192587,213633
72576,192498
72548,192431
192587,213641
72557,192451
72557,192450
72870,193847
194576,193847
21808,71973
71963,71973
71966,71973
71968,71973
71965,71973
71967,71973
71967,189892
71967,189893
71968,189911
210790,247312
210790,247315
5300,58539
58538,58539
265069,274260
264872,273826
3654,53505
193371,72787
193391,72787
193354,72787
31674,72787
192241,72787
193377,72787
72787,193347
193348,193347
193346,193347
193352,193347
193351,193347
193350,193347
193349,193347
72787,193348
193347,193348
193346,193348
193352,193348
193351,193348
193350,193348
193347,215275
72787,193346
193347,193346
193348,193346
193346,193346
193352,193346
193351,193346
193350,193346
193349,193346
72787,193352
193347,193352
193348,193352
193346,193352
193351,193352
193350,193352
193349,193352
72787,193351
193347,193351
193348,193351
193346,193351
193352,193351
193350,193351
193349,193351
72787,193350
193347,193350
193348,193350
193346,193350
193352,193350
193351,193350
193349,193350
72787,193349
193347,193349
193348,193349
193346,193349
193352,193349
193351,193349
193350,193349
193349,193349
10964,67954
3077,49989
1359,21310
60156,146407
67655,188527
73049,194426
188528,194426
2853,48051
3182,4834
3178,4834
54,4834
83674,4834
3081,4834
3180,51209
48577,76765
52425,50620
3171,50620
52525,3473
249249,3473
273914,3473
73009,3473
190694,3473
194323,3473
194386,3473
250656,3473
33,3473
748,3473
3480,3473
93711,3473
53014,3473
61,3473
25618,3473
250704,3473
30423,3473
72091,3473
194343,3473
33337,3473
72087,3473
72046,190670
10964,67960
53120,53120
3481,53120
53114,53120
53115,53120
53117,53120
91397,53120
91398,53120
199504,53120
91399,53120
199469,53120
199470,53120
199472,53120
91400,53120
199502,53120
199503,53120
199471,53120
199016,53120
53132,53120
91971,53120
91972,53120
91694,53120
200962,53120
200963,53120
91541,53120
199973,53120
199974,53120
91590,53120
200317,53120
200318,53120
91874,53120
202525,53120
202526,53120
91540,53120
199923,53120
199924,53120
203046,53120
91976,53120
203013,53120
203014,53120
203016,53120
91977,53120
203044,53120
203045,53120
203015,53120
53118,53120
91431,53120
91432,53120
199632,53120
91433,53120
199599,53120
199600,53120
199602,53120
91434,53120
199630,53120
199631,53120
199601,53120
53126,53120
91758,53120
91759,53120
202980,53120
202050,53120
202016,53120
202015,53120
91762,53120
91763,53120
91346,53120
198994,53120
198995,53120
202979,53120
198998,53120
199020,53120
199021,53120
198997,53120
91761,53120
201983,53120
201984,53120
201985,53120
201986,53120
91974,53120
202932,53120
202933,53120
202977,53120
92292,53120
203763,53120
203764,53120
203684,53120
92252,53120
203722,53120
203723,53120
203724,53120
203765,53120
203683,53120
92251,53120
203681,53120
203682,53120
53139,53120
53140,53120
53131,53120
91939,53120
91940,53120
202786,53120
202756,53120
202755,53120
91941,53120
91942,53120
53127,53120
91794,53120
91795,53120
91797,53120
91796,53120
202154,53120
202155,53120
202156,53120
91873,53120
202493,53120
202494,53120
202495,53120
202496,53120
53129,53120
91871,53120
91872,53120
200325,53120
223642,53120
53123,53120
91641,53120
91642,53120
53130,53120
91906,53120
91907,53120
202661,53120
91908,53120
202627,53120
202628,53120
202630,53120
91909,53120
202659,53120
202660,53120
202629,53120
53124,53120
91659,53120
91660,53120
202982,53120
219157,53120
219164,53120
199015,53120
219166,53120
219162,53120
199018,53120
219295,53120
219161,53120
199019,53120
219343,53120
219163,53120
199017,53120
219247,53120
219160,53120
218280,53120
251684,53120
252235,53120
219159,53120
218281,53120
251732,53120
219158,53120
252236,53120
252301,53120
91973,53120
202898,53120
202899,53120
202978,53120
202900,53120
200912,53120
200919,53120
91695,53120
201008,53120
201009,53120
201010,53120
200918,53120
199006,53120
218661,53120
200920,53120
199004,53120
218549,53120
200923,53120
199002,53120
218437,53120
200922,53120
199003,53120
224548,53120
200913,53120
200965,53120
225588,53120
224713,53120
200915,53120
199014,53120
219100,53120
200921,53120
199005,53120
200914,53120
224467,53120
224600,53120
200924,53120
200925,53120
199000,53120
218325,53120
199001,53120
218381,53120
224466,53120
200917,53120
91696,53120
201060,53120
201061,53120
201062,53120
200926,53120
91693,53120
200910,53120
200911,53120
200927,53120
200916,53120
224468,53120
224709,53120
224708,53120
224720,53120
224714,53120
224710,53120
224712,53120
224724,53120
224718,53120
224715,53120
199975,53120
201176,53120
199010,53120
199982,53120
199012,53120
199980,53120
199009,53120
199981,53120
199011,53120
199992,53120
91703,53120
201351,53120
201352,53120
199990,53120
91700,53120
201226,53120
201227,53120
201228,53120
199988,53120
201173,53120
91706,53120
201481,53120
201482,53120
201483,53120
91699,53120
199983,53120
199013,53120
201164,53120
91710,53120
201712,53120
201713,53120
199991,53120
91702,53120
201289,53120
201290,53120
201291,53120
222234,53120
201174,53120
91709,53120
201649,53120
201650,53120
201652,53120
201651,53120
201175,53120
91705,53120
201418,53120
201419,53120
201420,53120
199987,53120
222235,53120
222663,53120
200319,53120
223587,53120
202527,53120
229003,53120
199979,53120
199008,53120
218717,53120
199925,53120
226053,53120
201113,53120
199934,53120
91708,53120
201596,53120
201597,53120
201599,53120
201598,53120
199928,53120
221655,53120
221848,53120
199926,53120
221656,53120
221739,53120
91697,53120
199932,53120
221657,53120
221906,53120
221654,53120
199933,53120
91707,53120
201544,53120
201545,53120
201546,53120
199927,53120
218279,53120
221791,53120
53125,53120
91689,53120
91690,53120
202981,53120
201842,53120
91711,53120
201773,53120
201775,53120
91712,53120
201841,53120
201774,53120
91692,53120
200878,53120
200879,53120
200880,53120
200881,53120
53122,53120
91586,53120
91587,53120
91356,53120
199256,53120
199257,53120
91594,53120
200493,53120
200494,53120
199259,53120
199260,53120
199258,53120
91354,53120
199172,53120
199173,53120
91592,53120
200409,53120
200410,53120
199175,53120
199176,53120
199174,53120
200588,53120
200535,53120
200534,53120
91595,53120
91596,53120
91355,53120
199214,53120
199215,53120
91593,53120
200451,53120
200452,53120
91588,53120
200236,53120
200237,53120
200238,53120
200239,53120
91353,53120
199130,53120
199131,53120
91591,53120
200367,53120
200368,53120
199133,53120
199134,53120
199132,53120
91352,53120
199088,53120
199089,53120
91589,53120
200275,53120
200276,53120
199090,53120
53128,53120
91828,53120
91829,53120
91840,53120
91841,53120
91830,53120
202306,53120
202307,53120
202308,53120
202309,53120
91975,53120
202974,53120
202975,53120
202983,53120
202984,53120
200966,53120
199993,53120
200329,53120
202528,53120
199935,53120
53119,53120
91463,53120
91464,53120
199758,53120
91465,53120
199725,53120
199726,53120
199728,53120
91466,53120
199756,53120
199757,53120
199727,53120
53116,53120
91344,53120
91345,53120
199351,53120
91359,53120
199297,53120
199298,53120
199300,53120
91360,53120
199349,53120
199350,53120
199299,53120
53121,53120
91537,53120
91538,53120
200077,53120
91542,53120
200030,53120
91543,53120
200029,53120
91539,53120
199886,53120
199887,53120
199888,53120
199889,53120
199989,53120
58758,3481
58753,3481
33,3481
748,3481
3480,3481
93711,3481
53014,3481
61,3481
53120,53114
3481,53114
53114,53114
53115,53114
53120,53115
3481,53115
53114,53115
53115,53115
53120,53117
3481,53117
53114,53117
53115,53117
53117,53117
91397,53117
91398,53117
199504,53117
91399,53117
199469,53117
199470,53117
199472,53117
91400,53117
199502,53117
199503,53117
199471,53117
199016,53117
53132,53117
91971,53117
91972,53117
91694,53117
200962,53117
200963,53117
91541,53117
199973,53117
199974,53117
91590,53117
200317,53117
200318,53117
91874,53117
202525,53117
202526,53117
91540,53117
199923,53117
199924,53117
203046,53117
91976,53117
203013,53117
203014,53117
203016,53117
91977,53117
203044,53117
203045,53117
203015,53117
53118,53117
91431,53117
91432,53117
199632,53117
91433,53117
199599,53117
199600,53117
199602,53117
91434,53117
199630,53117
199631,53117
199601,53117
53126,53117
91758,53117
91759,53117
202980,53117
202050,53117
202016,53117
202015,53117
91762,53117
91763,53117
91346,53117
198994,53117
198995,53117
202979,53117
198998,53117
199020,53117
199021,53117
198997,53117
91761,53117
201983,53117
201984,53117
201985,53117
201986,53117
91974,53117
202932,53117
202933,53117
202977,53117
92292,53117
203763,53117
203764,53117
203684,53117
92252,53117
203722,53117
203723,53117
203724,53117
203765,53117
203683,53117
92251,53117
203681,53117
203682,53117
53139,53117
53140,53117
53131,53117
91939,53117
91940,53117
202786,53117
202756,53117
202755,53117
91941,53117
91942,53117
53127,53117
91794,53117
91795,53117
91797,53117
91796,53117
202154,53117
202155,53117
202156,53117
91873,53117
202493,53117
202494,53117
202495,53117
202496,53117
53129,53117
91871,53117
91872,53117
200325,53117
223642,53117
53123,53117
91641,53117
91642,53117
53130,53117
91906,53117
91907,53117
202661,53117
91908,53117
202627,53117
202628,53117
202630,53117
91909,53117
202659,53117
202660,53117
202629,53117
53124,53117
91659,53117
91660,53117
202982,53117
219157,53117
219164,53117
199015,53117
219166,53117
219162,53117
199018,53117
219295,53117
219161,53117
199019,53117
219343,53117
219163,53117
199017,53117
219247,53117
219160,53117
218280,53117
251684,53117
252235,53117
219159,53117
218281,53117
251732,53117
219158,53117
252236,53117
252301,53117
91973,53117
202898,53117
202899,53117
202978,53117
202900,53117
200912,53117
200919,53117
91695,53117
201008,53117
201009,53117
201010,53117
200918,53117
199006,53117
218661,53117
200920,53117
199004,53117
218549,53117
200923,53117
199002,53117
218437,53117
200922,53117
199003,53117
224548,53117
200913,53117
200965,53117
225588,53117
224713,53117
200915,53117
199014,53117
219100,53117
200921,53117
199005,53117
200914,53117
224467,53117
224600,53117
200924,53117
200925,53117
199000,53117
218325,53117
199001,53117
218381,53117
224466,53117
200917,53117
91696,53117
201060,53117
201061,53117
201062,53117
200926,53117
91693,53117
200910,53117
200911,53117
200927,53117
200916,53117
224468,53117
224709,53117
224708,53117
224720,53117
224714,53117
224710,53117
224712,53117
224724,53117
224718,53117
224715,53117
199975,53117
201176,53117
199010,53117
199982,53117
199012,53117
199980,53117
199009,53117
199981,53117
199011,53117
199992,53117
91703,53117
201351,53117
201352,53117
199990,53117
91700,53117
201226,53117
201227,53117
201228,53117
199988,53117
201173,53117
91706,53117
201481,53117
201482,53117
201483,53117
91699,53117
199983,53117
199013,53117
201164,53117
91710,53117
201712,53117
201713,53117
199991,53117
91702,53117
201289,53117
201290,53117
201291,53117
222234,53117
201174,53117
91709,53117
201649,53117
201650,53117
201651,53117
201175,53117
91705,53117
201418,53117
201419,53117
201420,53117
199987,53117
222235,53117
222663,53117
200319,53117
223587,53117
202527,53117
229003,53117
199979,53117
199008,53117
218717,53117
199925,53117
226053,53117
201113,53117
199934,53117
91708,53117
201596,53117
201597,53117
201598,53117
199928,53117
221655,53117
221848,53117
199926,53117
221656,53117
221739,53117
91697,53117
199932,53117
221657,53117
221906,53117
221654,53117
199933,53117
91707,53117
201544,53117
201545,53117
201546,53117
199927,53117
218279,53117
221791,53117
53125,53117
91689,53117
91690,53117
202981,53117
201842,53117
91711,53117
201773,53117
201775,53117
91712,53117
201841,53117
201774,53117
91692,53117
200878,53117
200879,53117
200880,53117
200881,53117
53122,53117
91586,53117
91587,53117
91356,53117
199256,53117
199257,53117
91594,53117
200493,53117
200494,53117
199259,53117
199260,53117
199258,53117
91354,53117
199172,53117
199173,53117
91592,53117
200409,53117
200410,53117
199175,53117
199176,53117
199174,53117
200588,53117
200535,53117
200534,53117
91595,53117
91596,53117
91355,53117
199214,53117
199215,53117
91593,53117
200451,53117
200452,53117
91588,53117
200236,53117
200237,53117
200238,53117
200239,53117
91353,53117
199130,53117
199131,53117
91591,53117
200367,53117
200368,53117
199133,53117
199134,53117
199132,53117
91352,53117
199088,53117
199089,53117
91589,53117
200275,53117
200276,53117
199090,53117
53128,53117
91828,53117
91829,53117
91840,53117
91841,53117
91830,53117
202306,53117
202307,53117
202308,53117
202309,53117
91975,53117
202974,53117
202975,53117
202983,53117
202984,53117
200966,53117
199993,53117
200329,53117
202528,53117
199935,53117
53119,53117
91463,53117
91464,53117
199758,53117
91465,53117
199725,53117
199726,53117
199728,53117
91466,53117
199756,53117
199757,53117
199727,53117
53116,53117
91344,53117
91345,53117
199351,53117
91359,53117
199297,53117
199298,53117
199300,53117
91360,53117
199349,53117
199350,53117
199299,53117
53121,53117
91537,53117
91538,53117
200077,53117
91542,53117
200030,53117
91543,53117
200029,53117
91539,53117
199886,53117
199887,53117
199888,53117
199889,53117
199989,53117
53117,91397
91397,91397
91398,91397
53117,91398
91397,91398
91398,91398
91400,199504
199502,199504
199503,199504
53117,91399
91397,91399
91398,91399
199472,91399
199471,91399
91399,199472
199469,199472
199470,199472
91400,199472
199502,199472
199503,199472
53117,91400
91397,91400
91398,91400
199504,91400
199472,91400
199504,220940
199471,220808
91399,199471
199469,199471
199470,199471
91346,199016
198994,199016
198995,199016
202979,199016
198998,199016
199020,199016
199021,199016
219164,199016
199015,199016
219162,199016
199018,199016
219161,199016
199019,199016
219163,199016
199017,199016
219160,199016
218280,199016
219159,199016
218281,199016
219158,199016
252236,199016
199016,219203
199016,219204
53120,53132
3481,53132
53114,53132
53115,53132
91974,53132
202932,53132
202933,53132
202977,53132
92292,53132
203763,53132
203764,53132
203684,53132
92252,53132
203722,53132
203723,53132
203724,53132
203765,53132
203683,53132
92251,53132
203681,53132
203682,53132
53139,53132
53140,53132
53132,91971
91971,91971
91972,91971
53132,91972
91971,91972
91972,91972
91346,91694
198994,91694
198995,91694
202979,91694
199020,91694
199021,91694
200912,91694
200919,91694
91695,91694
201008,91694
201009,91694
200918,91694
199006,91694
200920,91694
199004,91694
200923,91694
199002,91694
200922,91694
199003,91694
200913,91694
200965,91694
200915,91694
